Unnamed: 0.1,restaurant_name,restaurant_type,rating,num_ratings,avg_cost_two_people,online_order,table_booking,cuisines_type,area,local address,rating_category
3753,Malhar Maharashtrian Cuisine,Casual Dining,4.0,101,500.0,yes,no,Maharashtrian,Bannerghatta Road,Bannerghatta Road,Very Good
3754,Malleshwaram Dosa Corner,Quick Bites,4.4,104,120.0,yes,no,South Indian,Malleshwaram,Malleshwaram,Very Good
3755,Malleshwaram Holige Mane,Quick Bites,3.5,7,200.0,no,no,South Indian,Malleshwaram,Malleshwaram,Good
3756,Mallige,Casual Dining,3.2,5,700.0,no,no,"North Indian, South Indian",Brigade Road,Race Course Road,Good
3757,Mallige Ootada Mane,Quick Bites,3.3,13,300.0,no,no,South Indian,Rajajinagar,Vijay Nagar,Good
3758,Mallnad Hotel,Quick Bites,3.2,4,300.0,no,no,"North Indian, Chinese",Rajajinagar,Rajajinagar,Good
3759,"Malnad Blossom, Coffee & Cream",Cafe,3.8,33,300.0,no,no,Cafe,Jayanagar,Jp Nagar,Good
3760,Malnad Military Hotel,Casual Dining,3.8,40,500.0,no,no,"South Indian, Chinese","Byresandra,Tavarekere,Madiwala",Koramangala 7Th Block,Good
3761,Malties - Radisson Blu,Lounge,4.3,53,4500.0,no,no,"Continental, Fast Food",Marathahalli,Marathahalli,Very Good
3762,Mama Mia!,Dessert Parlor,3.9,111,400.0,yes,no,"Desserts, Cafe",Lavelle Road,Seshadripuram,Good
3763,Mama Mys Cafe,Quick Bites,3.5,40,300.0,no,no,Fast Food,Basavanagudi,Basavanagudi,Good
3764,Mamagoto,Casual Dining,4.4,2558,1600.0,yes,yes,"Asian, Thai, Chinese, Bbq, Momos",Indiranagar,Indiranagar,Very Good
3765,Mamaji'S,Casual Dining,2.8,40,600.0,yes,no,North Indian,Kalyan Nagar,Hbr Layout,Average
3766,Mamatha Restaurant,Casual Dining,2.6,74,700.0,yes,no,"Biryani, Hyderabadi, North Indian",Hsr,Bommanahalli,Average
3767,Mambos Cafe,Cafe,3.9,62,1100.0,no,no,"Cafe, Continental, Beverages, Fast Food",Frazer Town,Frazer Town,Good
3768,Mamma Mexicana,Casual Dining,2.2,406,1000.0,yes,yes,Mexican,Brigade Road,Mg Road,Average
3769,Manasa Andhra Style Multi Cuisine Restaurant,Casual Dining,3.6,70,800.0,no,no,"North Indian, South Indian, Chinese, Andhra, Biryani",Electronic City,Electronic City,Good
